a: Impulse through myelinated fibers is slower than non-myelinated fibers.,OPTION A IS CORRECT.,3,1,False
a: The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it.,OPTION A IS CORRECT.,2,1,False
c: Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not.,OPTION B IS CORRECT.,1,3,False
c: Antegrade and retrograde.,OPTION C IS CORRECT.,3,3,True
a: Glycogen synthesis.,OPTION B IS CORRECT.,2,1,False
a: 0.01.,OPTION B IS CORRECT.,2,1,False
a: Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B.,OPTION A IS CORRECT.,1,1,True
b: Anterior ethmoidal aery.,OPTION A IS CORRECT.,1,2,False
b: Electrical alternans.,OPTION A IS CORRECT.,1,2,False
b: Pulmonary atresia.,OPTION C IS CORRECT.,3,2,False
b: Dentinoenamel junction.,OPTION B IS CORRECT.,2,2,True
"a: Before performing the ABG, syringe should be loaded with 0.3 cc of heparin.",OPTION B IS CORRECT.,4,1,False
b: Pre-Botzinger complex.,OPTION B IS CORRECT.,2,2,True
a: ACA.,OPTION A IS CORRECT.,1,1,True
a: Hyalinization.,OPTION B IS CORRECT.,2,1,False
b: All stains are highly susceptible to penicillin.,OPTION B IS CORRECT.,2,2,True
"a: Assess the patient, give bag and mask ventilation and look for spontaneous breathing.",OPTION A IS CORRECT.,1,1,True
d: Candidiasis.,OPTION D IS CORRECT.,4,4,True
a: Monophasic.,OPTION C IS CORRECT.,3,1,False
a: Blood vessel borne.,OPTION D IS CORRECT.,4,1,False
"b: 1, decreases.",OPTION A IS CORRECT.,1,2,False
c: Bag and mask.,OPTION B IS CORRECT.,2,3,False
a: Upper Canine.,OPTION A IS CORRECT.,1,1,True
a: 20%.,OPTION A IS CORRECT.,1,1,True
d: Low.,OPTION A IS CORRECT.,1,4,False
b: Atropine.,OPTION A IS CORRECT.,1,2,False
a: Mesio-occlusal rest.,OPTION B IS CORRECT.,2,1,False
d: Margins of restoration in self-cleansable area.,OPTION C IS CORRECT.,3,4,False
a: Collagenase.,OPTION A IS CORRECT.,1,1,True
c: Student's T-test.,OPTION A IS CORRECT.,1,3,False
a: PLP.,OPTION B IS CORRECT.,2,1,False
b: Modify his fear by familiarization.,OPTION B IS CORRECT.,2,2,True
a: Cricoid cailage.,OPTION A IS CORRECT.,1,1,True
a: ABCDE.,OPTION C IS CORRECT.,3,1,False
d: Anti Lewis.,OPTION A IS CORRECT.,1,4,False
c: Convalescent carrier.,OPTION A IS CORRECT.,1,3,False
b: A baby born at 28 weeks of gestation.,OPTION B IS CORRECT.,2,2,True
d: Gram (–)ve sepsis.,OPTION C IS CORRECT.,3,4,False
c: Uterine inversion.,OPTION A IS CORRECT.,1,3,False
c: Basal cell degeneration.,OPTION B IS CORRECT.,2,3,False
b: Brisk jaw jerk.,OPTION B IS CORRECT.,2,2,True
a: High level expe group of universal health program for india.,OPTION A IS CORRECT.,1,1,True
d: All.,OPTION D IS CORRECT.,4,4,True
d: Lanz incision.,OPTION d IS CORRECT.,4,4,True
a: Africas.,OPTION A IS CORRECT.,1,1,True
b: B.,OPTION C IS CORRECT.,3,2,False
b: Division.,OPTION D IS CORRECT.,4,2,False
a: Cell cycle will stop at GI phase.,OPTION C IS CORRECT.,3,1,False
c: PMA (Massler and Schlour).,OPTION A IS CORRECT.,1,3,False
c: Paneth cells.,OPTION A IS CORRECT.,1,3,False
b: 1.5-2.5 kg.,OPTION B IS CORRECT.,2,2,True
c: Hypnozoite.,OPTION C IS CORRECT.,3,3,True
b: Temporalis.,OPTION A IS CORRECT.,1,2,False
a: HR/MAP.,OPTION A IS CORRECT.,1,1,True
b: Hydrocoisone administration.,OPTION A IS CORRECT.,1,2,False
c: 3.2 billion.,OPTION C IS CORRECT.,3,3,True
c: Silver-palladium.,OPTION C IS CORRECT.,3,3,True
a: 10-15 seconds.,OPTION B IS CORRECT.,2,1,False
a: Vertical hemilaryngectomy.,OPTION C IS CORRECT.,3,1,False
d: Chylomicrons.,OPTION C IS CORRECT.,3,4,False
d: Antibiotics and admit.,OPTION C IS CORRECT.,3,4,False
c: Secretory vesicles.,OPTION B IS CORRECT.,2,3,False
a: Aemether plus lumefantrine.,OPTION A IS CORRECT.,1,1,True
d: Pyruvate kinase.,OPTION D IS CORRECT.,4,4,True
a: Osteosarcoma.,OPTION B IS CORRECT.,2,1,False
d: Transrectal ultrasound to detect duct obstruction.,OPTION A IS CORRECT.,1,4,False
c: Nasal bone.,OPTION D IS CORRECT.,4,3,False
d: Only a person ceified under MTP act can perform medical termination of pregnancy.,OPTION D IS CORRECT.,4,4,True
c: Troponin.,OPTION C IS CORRECT.,3,3,True
b: HAV.,OPTION B IS CORRECT.,2,2,True
b: Average.,OPTION C IS CORRECT.,3,2,False
c: L-Gulonolactone oxidase.,OPTION D IS CORRECT.,4,3,False
a: Amoxicillin..,OPTION A IS CORRECT.,1,1,True
b: Adhesive failure of metal ceramic bond.,OPTION B IS CORRECT.,2,2,True
d: All of the above..,OPTION B IS CORRECT.,2,4,False
a: Plasmacytoma.,OPTION B IS CORRECT.,2,1,False
a: Round burr.,OPTION B IS CORRECT.,2,1,False
b: Production of dentin.,OPTION D IS CORRECT.,4,2,False
b: Movement at fracture site.,OPTION B IS CORRECT.,2,2,True
b: Aldolase B.,OPTION B IS CORRECT.,2,2,True
c: Contraction is initiated by calcium binding to troponin.,OPTION C IS CORRECT.,3,3,True
a: Acetyl Co-A stimulation of pyruvate carboxylase.,OPTION A IS CORRECT.,1,1,True
a: Transthyretin.,OPTION C IS CORRECT.,3,1,False
a: Gonadal dysgenesis.,OPTION A IS CORRECT.,1,1,True
a: 1 dimension.,OPTION A IS CORRECT.,1,1,True
c: Both.,OPTION C IS CORRECT.,3,3,True
a: Occlusal pit and fissures.,OPTION B IS CORRECT.,2,1,False
d: Post auricular nodes.,OPTION D IS CORRECT.,4,4,True
a: Apert's syndrome.,OPTION A IS CORRECT.,1,1,True
d: Increased pH.,OPTION D IS CORRECT.,4,4,True
b: A alpha.,OPTION D IS CORRECT.,4,2,False
b: Isotretinoin.,OPTION A IS CORRECT.,1,2,False
b: Functionally moulded periphery.,OPTION D IS CORRECT.,4,2,False
a: Hyperpituitarism.,OPTION A IS CORRECT.,1,1,True
c: Erythromycin.,OPTION C IS CORRECT.,3,3,True
a: Rigidity or stiffness of the material.,OPTION B IS CORRECT.,2,1,False
b: Endothelial cells.,OPTION B IS CORRECT.,2,2,True
d: Neostigmine has a role in krait bite..,OPTION C IS CORRECT.,2,4,False
b: Obturator.,OPTION A IS CORRECT.,1,2,False
d: Adherence.,OPTION B IS CORRECT.,2,4,False
a: Epsilon aminocaproic acid.,OPTION A IS CORRECT.,1,1,True
b: Nasal.,OPTION A IS CORRECT.,1,2,False
a: Facial pain scale.,OPTION A IS CORRECT.,1,1,True
d: Hurler syndrome.,OPTION D IS CORRECT.,4,4,True
b: 16 Lp/mm.,OPTION B IS CORRECT.,2,2,True
a: IV fluids and furosemide.,OPTION A IS CORRECT.,1,1,True
d: Clot solubility..,OPTION D IS CORRECT.,3,4,False
b: Low.,OPTION B IS CORRECT.,2,2,True
c: Sharp cusps and prominent ridges are present.,OPTION A IS CORRECT.,1,3,False
a: Hopewood.,OPTION A IS CORRECT.,1,1,True
a: 3-4 mins..,OPTION C IS CORRECT.,3,1,False
d: Hamate fracture.,OPTION A IS CORRECT.,1,4,False
a: 1-1.2%.,OPTION C IS CORRECT.,3,1,False
c: Pharmacological blockade.,OPTION C IS CORRECT.,3,3,True
a: Bacteriodes melaninogenicus.,OPTION A IS CORRECT.,1,1,True
b: Facial artery.,OPTION B IS CORRECT.,2,2,True
c: Normal APTT.,OPTION C IS CORRECT.,3,3,True
b: Griseofulvin.,OPTION C IS CORRECT.,3,2,False
a: Stimulus response theory.,OPTION A IS CORRECT.,1,1,True
a: Distobuccal.,OPTION B IS CORRECT.,2,1,False
c: Plasmodium vivax and ovale.,OPTION C IS CORRECT.,3,3,True
a: BIS GMA.,OPTION A IS CORRECT.,1,1,True
a: Upper 1st molar.,OPTION B IS CORRECT.,2,1,False
