C: tell the attending that he cannot fail to disclose this mistake,OPTION B IS CORRECT.,b,c,False
E: cross-linking of dna,OPTION A IS CORRECT.,a,e,False
C: cholesterol embolization,OPTION C IS CORRECT.,c,c,True
"D: lactose-fermenting, gram-negative rods forming pink colonies on macconkey agar",OPTION A IS CORRECT.,a,d,False
B: ketotifen eye drops,OPTION B IS CORRECT.,b,b,True
E: reassurance and continuous monitoring,OPTION B IS CORRECT.,b,e,False
D: common iliac artery aneurysm,OPTION B IS CORRECT.,b,d,False
C: clopidogrel,OPTION C IS CORRECT.,c,c,True
C: active or recurrent pelvic inflammatory disease (pid),OPTION C IS CORRECT.,c,c,True
A: silvery plaques on extensor surfaces,OPTION A IS CORRECT.,a,a,True
E: it is an hiv-1/hiv2 antibody differentiation immunoassay,OPTION E IS CORRECT.,e,e,True
D: ruxolitinib,OPTION B IS CORRECT.,b,d,False
B: meningioma,OPTION B IS CORRECT.,b,b,True
E: a reduction in diastolic filling time,OPTION B IS CORRECT.,b,e,False
D: rotavirus,OPTION E IS CORRECT.,e,d,False
B: gallbladder cancer,OPTION B IS CORRECT.,b,b,True
E: il-4,OPTION D IS CORRECT.,d,e,False
E: matching,OPTION C IS CORRECT.,c,e,False
B: ibuprofen + colchicine +/- omeprazole,OPTION A IS CORRECT.,a,b,False
"E: benzodiazepine intoxication
""",OPTION C IS CORRECT.,c,e,False
C: previous radiation therapy,OPTION C IS CORRECT.,c,c,True
A: 22q11 deletion,OPTION A IS CORRECT.,a,a,True
D: histoplasma capsulatum infection,OPTION D IS CORRECT.,d,d,True
E: staphylococcus aureus,OPTION B IS CORRECT.,b,e,False
A: intubate with mechanical ventilation,OPTION A IS CORRECT.,a,a,True
E: respiratory burst,OPTION D IS CORRECT.,d,e,False
E: steeple sign,OPTION E IS CORRECT.,e,e,True
A: induction of cyp3a4 by rifampin leading to decreased serum levels of ethinylestradiol and progesterone,OPTION A IS CORRECT.,a,a,True
D: increased cerebrospinal fluid protein with normal cell count,OPTION D IS CORRECT.,d,d,True
D: reassurance,OPTION D IS CORRECT.,d,d,True
E: obstruction of the cystic duct,OPTION C IS CORRECT.,c,e,False
C: increased ventricular wall stiffness,OPTION D IS CORRECT.,d,c,False
E: chloramphenicol,OPTION B IS CORRECT.,b,e,False
B: proliferation of gastric mucus-producing cells,OPTION E IS CORRECT.,e,b,False
"B: insulin, potassium, iv fluids, and glucose",OPTION A IS CORRECT.,a,b,False
A: psoriatic arthritis,OPTION A IS CORRECT.,a,a,True
E: paraneoplastic syndrome from small cell carcinoma of the lung,OPTION D IS CORRECT.,d,e,False
A: defective t cell function,OPTION A IS CORRECT.,a,a,True
E: 2.67,OPTION D IS CORRECT.,d,e,False
A: arcuate fasciculus,OPTION C IS CORRECT.,c,a,False
D: polycystic ovarian syndrome (pcos),OPTION D IS CORRECT.,d,d,True
C: strict blood glucose control,OPTION C IS CORRECT.,c,c,True
A: duodenal atresia,OPTION C IS CORRECT.,c,a,False
C: coronary sinus,OPTION D IS CORRECT.,d,c,False
B: globular 10-week sized uterus,OPTION D IS CORRECT.,d,b,False
E: fomepizole,OPTION A IS CORRECT.,a,e,False
C: 20,OPTION B IS CORRECT.,b,c,False
A: femoropopliteal artery stenosis,OPTION A IS CORRECT.,a,a,True
B: recommend autopsy of the infant,OPTION C IS CORRECT.,c,b,False
D: proliferation of surfactant-secreting cells,OPTION D IS CORRECT.,d,d,True
E: induces breaks in double-stranded dna,OPTION A IS CORRECT.,a,e,False
A: aldosterone excess,OPTION A IS CORRECT.,a,a,True
D: defective hepatic bile excretion,OPTION A IS CORRECT.,a,d,False
D: atropine,OPTION B IS CORRECT.,b,d,False
B: tardive dyskinesia,OPTION C IS CORRECT.,c,b,False
B: koh examination of lesion scrapings,OPTION B IS CORRECT.,b,b,True
C: gynecomastia,OPTION D IS CORRECT.,d,c,False
B: variable β-sequence of the t cell receptor,OPTION B IS CORRECT.,b,b,True
C: hemolytic uremic syndrome,OPTION C IS CORRECT.,c,c,True
A: patients with this disorder are not further sub-typed,OPTION C IS CORRECT.,c,a,False
D: salmonella typhi,OPTION D IS CORRECT.,d,d,True
A: acetaldehyde,OPTION A IS CORRECT.,a,a,True
D: no tests required,OPTION D IS CORRECT.,d,d,True
A: insert a ‘straight cath’ into the patient’s bladder,OPTION D IS CORRECT.,d,a,False
A: disruption of cell membrane permeability,OPTION D IS CORRECT.,d,a,False
C: lytic lesions of the lumbar spine,OPTION B IS CORRECT.,b,c,False
D: perform emergency laparotomy,OPTION D IS CORRECT.,d,d,True
C: transplacental passage of tsh receptor antibodies,OPTION A IS CORRECT.,a,c,False
D: nadalol,OPTION D IS CORRECT.,d,d,True
A: proceed with liver biopsy,OPTION D IS CORRECT.,d,a,False
A: spontaneous bacterial peritonitis,OPTION A IS CORRECT.,a,a,True
A: cardiac contusion,OPTION A IS CORRECT.,a,a,True
C: liver transplantation,OPTION B IS CORRECT.,b,c,False
B: methimazole,OPTION C IS CORRECT.,c,b,False
C: potassium hydroxide preparation,OPTION D IS CORRECT.,d,c,False
A: 5,OPTION B IS CORRECT.,b,a,False
B: biopsy of the mass,OPTION B IS CORRECT.,b,b,True
B: deposition of calcium pyrophosphate (cpp) crystals,OPTION B IS CORRECT.,b,b,True
D: transposition of great vessels,OPTION D IS CORRECT.,d,d,True
C: interrupted 2-0 polypropylene suture with supporting pledgets,OPTION C IS CORRECT.,c,c,True
B: reid index > 50%,OPTION B IS CORRECT.,b,b,True
B: caspase-9,OPTION D IS CORRECT.,d,b,False
C: acral lentiginous,OPTION C IS CORRECT.,c,c,True
B: jaw claudication,OPTION B IS CORRECT.,b,b,True
D: endometrial tissue outside the uterine cavity,OPTION D IS CORRECT.,d,d,True
C: friable irregular masses attached to the valve,OPTION C IS CORRECT.,c,c,True
C: laparoscopy,OPTION C IS CORRECT.,c,c,True
D: high ldl-cholesterol,OPTION E IS CORRECT.,e,d,False
C: thoracic aortic rupture,OPTION B IS CORRECT.,b,c,False
C: propylthiouracil,OPTION C IS CORRECT.,c,c,True
E: freshwater snails,OPTION D IS CORRECT.,d,e,False
B: normal hemoglobin in patients with tetralogy of fallot does not rule out iron deficiency anemia.,OPTION C IS CORRECT.,c,b,False
D: delirium,OPTION D IS CORRECT.,d,d,True
E: rheumatoid arthritis,OPTION D IS CORRECT.,d,e,False
C: a drop in systolic blood pressure of 14 mmhg during inspiration,OPTION E IS CORRECT.,e,c,False
D: mr angiography of the brain,OPTION A IS CORRECT.,a,d,False
A: autosomal dominant,OPTION A IS CORRECT.,a,a,True
B: antigenic variation,OPTION B IS CORRECT.,b,b,True
C: cervical immobilization,OPTION C IS CORRECT.,c,c,True
C: bromocriptine,OPTION C IS CORRECT.,c,c,True
E: anti-b antibodies,OPTION C IS CORRECT.,c,e,False
A: amantadine,OPTION A IS CORRECT.,a,a,True
A: stop magnesium sulfate and give calcium gluconate,OPTION A IS CORRECT.,a,a,True
A: myxedema coma,OPTION A IS CORRECT.,a,a,True
C: aortic regurgitation,OPTION C IS CORRECT.,c,c,True
B: borderline personality disorder,OPTION B IS CORRECT.,b,b,True
C: positive emission tomography (pet) of chest now,OPTION B IS CORRECT.,b,c,False
A: primary spermatocyte,OPTION A IS CORRECT.,a,a,True
E: surgical pinning of the femoral head,OPTION B IS CORRECT.,b,e,False
C: stool leukocytes,OPTION C IS CORRECT.,c,c,True
D: bacterial translocation,OPTION D IS CORRECT.,d,d,True
C: racemic epinephrine and intramuscular corticosteroid therapy,OPTION B IS CORRECT.,b,c,False
B: esophageal fibrosis,OPTION C IS CORRECT.,c,b,False
D: jak/stat,OPTION A IS CORRECT.,a,d,False
D: metformin,OPTION A IS CORRECT.,a,d,False
E: power stroke,OPTION D IS CORRECT.,d,e,False
D: tsc1 gene on chromosome 9,OPTION C IS CORRECT.,c,d,False
D: metformin,OPTION A IS CORRECT.,a,d,False
E: chronic obstructive pulmonary disease,OPTION C IS CORRECT.,c,e,False
C: avoid exposure to birds,OPTION B IS CORRECT.,b,c,False
D: uterine artery,OPTION D IS CORRECT.,d,d,True
B: epstein-barr virus,OPTION B IS CORRECT.,b,b,True
E: zika virus,OPTION B IS CORRECT.,b,e,False
A: mixing study,OPTION D IS CORRECT.,c,a,False
B: diarrhea,OPTION D IS CORRECT.,d,b,False
A: isoniazid,OPTION D IS CORRECT.,d,a,False
A: herniation of the uncus,OPTION A IS CORRECT.,a,a,True
D: natural killer cells,OPTION D IS CORRECT.,d,d,True
A: intrafascicular infiltration on muscle biopsy,OPTION C IS CORRECT.,c,a,False
A: decreased acetylcholine release,OPTION B IS CORRECT.,b,a,False
B: biliary atresia,OPTION D IS CORRECT.,d,b,False
B: qt prolongation,OPTION B IS CORRECT.,b,b,True
A: diverticulitis,OPTION A IS CORRECT.,a,a,True
B: aortoiliac atherosclerosis,OPTION B IS CORRECT.,b,b,True
"A: increased pth, decreased calcium, increased phosphate, decreased calcitriol",OPTION A IS CORRECT.,a,a,True
C: binds endogenous peptides that have been transported by the tap channel,OPTION C IS CORRECT.,c,c,True
D: gastroesophageal junction incompetence,OPTION D IS CORRECT.,d,d,True
E: treatment with radioactive iodine,OPTION D IS CORRECT.,d,e,False
C: reassuring the parents and use of an enuresis alarm,OPTION C IS CORRECT.,c,c,True
D: decreased positional sense in the ipsilateral leg,OPTION B IS CORRECT.,b,d,False
D: amoxicilin,OPTION B IS CORRECT.,b,d,False
A: mri of the adrenal glands,OPTION E IS CORRECT.,e,a,False
A: inhibition of beta-tubulin polymerization,OPTION A IS CORRECT.,a,a,True
B: aromatic amines,OPTION B IS CORRECT.,b,b,True
D: reassurance and follow-up,OPTION D IS CORRECT.,d,d,True
D: normal light microscopy findings,OPTION E IS CORRECT.,e,d,False
D: tumor arising from cutaneous t cells,OPTION E IS CORRECT.,e,d,False
D: cognitive behavioral therapy,OPTION D IS CORRECT.,d,d,True
B: frontotemporal dementia,OPTION D IS CORRECT.,d,b,False
